case,t,roll_deg,pitch_deg,yaw_deg
B_NOAOCS,25.000000000000085,-5.553409766905495,-6.2429309338789825,-1.2820368992036295
B_NOAOCS,25.100000000000087,-5.660622880414924,-6.220060186229637,-1.2622308877594777
B_NOAOCS,25.200000000000088,-5.7755893784508165,-6.192431575791581,-1.2396323892127477
B_NOAOCS,25.30000000000009,-5.902725578431793,-6.1665508433099845,-1.2211138788321825
B_NOAOCS,25.40000000000009,-6.024757671725022,-6.149856213129462,-1.2071080813087938
B_NOAOCS,25.500000000000092,-6.115000094541186,-6.139735392749307,-1.1830495065023507
B_NOAOCS,25.600000000000094,-6.1842839980221775,-6.12705250215745,-1.143085739154336
B_NOAOCS,25.700000000000095,-6.24418398848476,-6.113380542982514,-1.09473283541146
B_NOAOCS,25.800000000000097,-6.287910740334289,-6.105869245306121,-1.051882375171414
B_NOAOCS,25.900000000000098,-6.322245440337027,-6.102519063948473,-1.0171905992423307
B_NOAOCS,26.0000000000001,-6.3527756479387945,-6.101046097727256,-0.9855086785700397
B_NOAOCS,26.1000000000001,-6.385503777285899,-6.096318741133298,-0.9574270333915197
B_NOAOCS,26.200000000000102,-6.421353708738948,-6.088970000771746,-0.9336635011014564
B_NOAOCS,26.300000000000104,-6.456744040339352,-6.081884936354522,-0.9110739807275126
B_NOAOCS,26.400000000000105,-6.497526155324582,-6.0748203493000466,-0.8920263420098289
B_NOAOCS,26.500000000000107,-6.541765202899375,-6.065825073197149,-0.8764681773002633
B_NOAOCS,26.600000000000108,-6.595869488921154,-6.056234209327304,-0.8630991583151818
B_NOAOCS,26.70000000000011,-6.64064537000978,-6.050268784549918,-0.8538997594823665
B_NOAOCS,26.80000000000011,-6.694948138862288,-6.0383586693104645,-0.8418012012279937
B_NOAOCS,26.900000000000112,-6.745872299424057,-6.030511911259107,-0.8323451766396721
B_NOAOCS,27.000000000000114,-6.791700744792657,-6.021039031743642,-0.8234890306034962
B_NOAOCS,27.100000000000115,-6.83993335801436,-6.013206280609578,-0.8151770075261792
B_NOAOCS,27.200000000000117,-6.8839063370437925,-6.0048156180115235,-0.8068564825610485
B_NOAOCS,27.300000000000118,-6.92857022974897,-5.995789576074922,-0.7993756766718789
B_NOAOCS,27.40000000000012,-6.972805448681829,-5.986290624168261,-0.7918538732648136
B_NOAOCS,27.50000000000012,-7.018506227528123,-5.975776729490321,-0.7813303273224048
B_NOAOCS,27.600000000000122,-7.060841545872368,-5.964783566838574,-0.7674910518344874
B_NOAOCS,27.700000000000124,-7.108524543318969,-5.952086547425547,-0.7387618992033308
B_NOAOCS,27.800000000000125,-7.15737530434623,-5.942471963803299,-0.7131179006649793
B_NOAOCS,27.900000000000126,-7.211779398613794,-5.930630062151652,-0.6795308444020832
B_NOAOCS,28.000000000000128,-7.272951133238917,-5.920547229574878,-0.631601506453638
B_NOAOCS,28.10000000000013,-7.3436488619926745,-5.911245102116142,-0.5826985830284532
B_NOAOCS,28.20000000000013,-7.412395160791271,-5.906906141780105,-0.5309581551777379
B_NOAOCS,28.300000000000132,-7.467788882412394,-5.909055848201152,-0.47773826523640717
B_NOAOCS,28.400000000000134,-7.513016127345741,-5.914815668016486,-0.4230298869750283
B_NOAOCS,28.500000000000135,-7.563619650595367,-5.913923178906233,-0.36879218389177504
B_NOAOCS,28.600000000000136,-7.62469457568575,-5.90583602744303,-0.3142905148609239
B_NOAOCS,28.700000000000138,-7.69315318681502,-5.891578472157779,-0.25998661746570473
