t_M7,tau_M7,v_mag_M7,a_mag_M7,t_preM7,tau_preM7,v_mag_preM7,a_mag_preM7
6.384130506,0.702,0.1159155582641658,0.049096956221264615,4.212,0.702,0.17569326961877524,0.11279279446087474
6.393224709,0.703,0.1154720881138642,0.04924237415340015,4.218,0.703,0.17502110169022803,0.11312687005725938
6.402318912,0.704,0.11502728370266063,0.049386425244830695,4.224,0.7040000000000001,0.17434691142176456,0.11345780554487643
6.411413115,0.705,0.1145811577260387,0.04952910224495244,4.23,0.7050000000000001,0.17367071805593573,0.11378558426656528
6.420507318,0.706,0.1141337229429565,0.049670397907885924,4.236,0.706,0.17299254093150065,0.1141101895760196
6.429601521,0.7070000000000001,0.11368499217585638,0.0498103049923506,4.242,0.707,0.17231239948344174,0.11443160483749755
6.4386957240000005,0.7080000000000001,0.1132349783106786,0.04994881626154575,4.248,0.7080000000000001,0.1716303132429847,0.11474981342555035
6.4477899270000005,0.7090000000000001,0.11278369429687167,0.050085924483035345,4.2540000000000004,0.7090000000000001,0.17094630183761553,0.1150647987247546
6.456884130000001,0.7100000000000001,0.11233115314740494,0.05022162242863352,4.26,0.71,0.17026038499109872,0.11537654412945247
6.465978333000001,0.7110000000000001,0.11187736793878039,0.05035590287429882,4.266,0.711,0.16957258252349391,0.11568503304350557
6.475072536,0.712,0.11142235181104339,0.05048875860002731,4.272,0.7120000000000001,0.1688829143511739,0.11599024888005424
6.484166739,0.713,0.11096611796779399,0.050620182389752875,4.2780000000000005,0.7130000000000001,0.16819140048684433,0.11629217506128167
6.493260942,0.714,0.11050867967620122,0.05075016703124858,4.284,0.714,0.16749806103955803,0.11659079501819351
6.502355145,0.715,0.11005005026701024,0.05087870531603218,4.29,0.715,0.16680291621473262,0.11688609219039725
6.511449348,0.716,0.10959024313455851,0.05100579003927538,4.296,0.7160000000000001,0.16610598631417145,0.11717805002589528
6.520543551,0.717,0.10912927173678216,0.05113141399971517,4.3020000000000005,0.7170000000000001,0.1654072917360766,0.11746665198087917
6.529637754,0.718,0.10866714959523244,0.0512555699995689,4.308,0.718,0.16470685297506862,0.11775188151953919
6.538731957,0.719,0.10820389029508316,0.05137825084445255,4.314,0.719,0.1640046906222027,0.11803372211387024
6.5478261600000005,0.7200000000000001,0.10773950748514342,0.05149944934330172,4.32,0.7200000000000001,0.16330082536498564,0.11831215724349527
