t_s,e_ee_pos_mm,tau_q_max_Nm
4.110000,2.201096,0.255618
4.120000,2.185847,0.257789
4.130000,2.170685,0.259939
4.140000,2.155623,0.262068
4.150000,2.140673,0.264176
4.160000,2.125845,0.266264
4.170000,2.111153,0.268330
4.180000,2.096610,0.270376
4.190000,2.082228,0.272402
4.200000,2.068020,0.274407
4.210000,2.053999,0.276392
4.220000,2.040179,0.278356
4.230000,2.026574,0.280301
4.240000,2.013197,0.282226
4.250000,2.000063,0.284130
4.260000,1.987185,0.286015
4.270000,1.974578,0.287880
4.280000,1.962257,0.289726
4.290000,1.950235,0.291552
4.300000,1.938527,0.293359
4.310000,1.927148,0.295146
4.320000,1.916112,0.296915
4.330000,1.905435,0.298664
4.340000,1.895130,0.300394
4.350000,1.885211,0.302106
4.360000,1.875694,0.303798
4.370000,1.866592,0.305472
4.380000,1.857920,0.307127
4.390000,1.849690,0.308763
4.400000,1.841916,0.310382
4.410000,1.834611,0.311981
4.420000,1.827789,0.313563
4.430000,1.821460,0.315126
4.440000,1.815637,0.316671
4.450000,1.810330,0.318198
4.460000,1.805552,0.319707
4.470000,1.801311,0.321198
4.480000,1.797617,0.322671
4.490000,1.794478,0.324127
4.500000,1.791904,0.325564
4.510000,1.789900,0.326984
4.520000,1.788473,0.328387
4.530000,1.787629,0.329772
4.540000,1.787373,0.331246
4.550000,1.787708,0.333718
4.560000,1.788638,0.336171
4.570000,1.790165,0.338606
4.580000,1.792289,0.341023
4.590000,1.795011,0.343422
4.600000,1.798331,0.345803
4.610000,1.802247,0.348166
4.620000,1.806756,0.350510
4.630000,1.811855,0.352837
4.640000,1.817541,0.355279
4.650000,1.823808,0.358142
4.660000,1.830651,0.360991
4.670000,1.838063,0.363827
4.680000,1.846036,0.366650
4.690000,1.854563,0.369459
4.700000,1.863636,0.372254
4.710000,1.873245,0.375036
4.720000,1.883380,0.377803
4.730000,1.894031,0.380558
4.740000,1.905187,0.383298
4.750000,1.916837,0.386025
4.760000,1.928969,0.388737
4.770000,1.941571,0.391436
4.780000,1.954631,0.394121
4.790000,1.968136,0.396792
4.800000,1.982073,0.399449
4.810000,1.996429,0.402092
4.820000,2.011190,0.404721
4.830000,2.026344,0.407335
4.840000,2.041877,0.409936
4.850000,2.057775,0.412522
4.860000,2.074024,0.415094
4.870000,2.090611,0.417652
4.880000,2.107522,0.420195
4.890000,2.124744,0.422724
4.900000,2.142262,0.425239
4.910000,2.160064,0.427739
4.920000,2.178136,0.430224
4.930000,2.196464,0.432695
4.940000,2.215036,0.435152
4.950000,2.233837,0.437593
4.960000,2.252857,0.440020
4.970000,2.272080,0.442432
4.980000,2.291496,0.444829
4.990000,2.311091,0.447212
5.000000,2.330854,0.449579
5.010000,2.350771,0.451932
5.020000,2.370832,0.454269
5.030000,2.391024,0.456591
5.040000,2.411336,0.458898
5.050000,2.431757,0.461190
5.060000,2.452275,0.463466
5.070000,2.472880,0.465727
5.080000,2.493561,0.467972
5.090000,2.514307,0.470202
5.100000,2.535109,0.472416
5.110000,2.555955,0.474615
5.120000,2.576835,0.476797
5.130000,2.597742,0.478963
5.140000,2.618663,0.481114
5.150000,2.639591,0.483248
5.160000,2.660516,0.485366
5.170000,2.681429,0.487468
5.180000,2.702321,0.489553
5.190000,2.723184,0.491621
5.200000,2.744009,0.493672
5.210000,2.764788,0.495707
5.220000,2.785512,0.497725
5.230000,2.806175,0.499725
5.240000,2.826768,0.501708
5.250000,2.847283,0.503673
5.260000,2.867713,0.505621
5.270000,2.888051,0.507550
5.280000,2.908290,0.509462
5.290000,2.928423,0.511355
5.300000,2.948443,0.513230
5.310000,2.968343,0.515087
5.320000,2.988116,0.516924
5.330000,3.007758,0.518742
5.340000,3.027261,0.520541
5.350000,3.046619,0.522321
5.360000,3.065826,0.524081
5.370000,3.084877,0.525821
5.380000,3.103766,0.527540
5.390000,3.122487,0.529239
5.400000,3.141035,0.530918
5.410000,3.159405,0.532575
5.420000,3.177592,0.534211
5.430000,3.195590,0.535826
5.440000,3.213395,0.537419
5.450000,3.231003,0.538989
5.460000,3.248407,0.540538
5.470000,3.265605,0.542063
5.480000,3.282591,0.543565
5.490000,3.299362,0.545044
5.500000,3.315913,0.546500
5.510000,3.332240,0.547931
5.520000,3.348339,0.549338
5.530000,3.364207,0.550720
5.540000,3.379840,0.552077
5.550000,3.395234,0.553409
5.560000,3.410385,0.554716
5.570000,3.425292,0.555996
5.580000,3.439949,0.557251
5.590000,3.454355,0.558478
5.600000,3.468505,0.559679
5.610000,3.482398,0.560852
5.620000,3.496031,0.561997
5.630000,3.509400,0.563114
5.640000,3.522504,0.564202
5.650000,3.535340,0.565261
5.660000,3.547905,0.566290
5.670000,3.560197,0.567290
5.680000,3.572215,0.568259
5.690000,3.583956,0.569197
5.700000,3.595419,0.570104
5.710000,3.606601,0.570979
5.720000,3.617500,0.571822
5.730000,3.628117,0.572632
5.740000,3.638448,0.573409
5.750000,3.648493,0.574153
5.760000,3.658250,0.574862
5.770000,3.667718,0.575537
5.780000,3.676896,0.576176
5.790000,3.685784,0.576780
5.800000,3.694380,0.577348
5.810000,3.702684,0.577880
5.820000,3.710695,0.578374
5.830000,3.718413,0.578830
5.840000,3.725837,0.579249
5.850000,3.732967,0.579628
5.860000,3.739804,0.579969
5.870000,3.746346,0.580270
5.880000,3.752594,0.580530
5.890000,3.758548,0.580750
5.900000,3.764209,0.580928
5.910000,3.769576,0.581064
5.920000,3.774651,0.581158
5.930000,3.779434,0.581209
5.940000,3.783925,0.581217
5.950000,3.788126,0.581180
5.960000,3.792037,0.581099
5.970000,3.795660,0.580972
5.980000,3.798995,0.580800
5.990000,3.802044,0.580581
6.000000,3.804809,0.580315
6.010000,3.807290,0.580002
6.020000,3.809489,0.579641
6.030000,3.811408,0.579231
6.040000,3.813049,0.578772
6.050000,3.814414,0.578263
6.060000,3.815504,0.577703
6.070000,3.816322,0.577093
