t_s,e_ee_pos_mm,tau_q_max_Nm
2.550000,31.817166,0.846043
2.560000,32.155950,0.879551
2.570000,32.496335,0.912478
2.580000,32.838359,0.945006
2.590000,33.182070,0.977257
2.600000,33.527518,0.697066
2.610000,33.874703,0.739428
2.620000,34.223541,0.779910
2.630000,34.573932,0.818702
2.640000,34.925811,0.856076
2.650000,35.279150,0.892333
2.660000,35.633949,0.927760
2.670000,35.990228,0.962608
2.680000,36.348022,0.997075
2.690000,36.707373,1.031295
2.700000,37.068326,0.735368
2.710000,37.430926,0.779897
2.720000,37.795119,0.822399
2.730000,38.160780,0.863100
2.740000,38.527827,0.902308
2.750000,38.896216,0.940353
2.760000,39.265937,0.977549
2.770000,39.637001,1.014169
2.780000,40.009437,1.050425
2.790000,40.383282,1.086465
2.800000,40.758577,0.776211
2.810000,41.135411,0.822706
2.820000,41.513767,0.867030
2.830000,41.893493,0.909454
2.840000,42.274486,0.950320
2.850000,42.656688,0.989985
2.860000,43.040077,1.028786
2.870000,43.424655,1.067014
2.880000,43.810444,1.104896
2.890000,44.197475,1.142589
2.900000,44.585784,0.819517
2.910000,44.975511,0.867744
2.920000,45.366674,0.913664
2.930000,45.759095,0.957595
2.940000,46.152650,0.999914
2.950000,46.547265,1.041004
2.960000,46.942905,1.081220
2.970000,47.339565,1.120866
2.980000,47.737256,1.160181
2.990000,48.136005,1.199324
3.000000,48.535842,0.871407
3.010000,48.936955,0.921252
3.020000,49.339405,0.968701
3.030000,49.742985,1.014121
3.040000,50.147556,1.057916
3.050000,50.553027,1.100483
3.060000,50.959353,1.142182
3.070000,51.366519,1.183317
3.080000,51.774530,1.224124
3.090000,52.183405,1.264758
3.100000,52.593170,0.925822
3.110000,53.004070,0.977140
3.120000,53.416204,1.025929
3.130000,53.829339,1.072625
3.140000,54.243314,1.117671
3.150000,54.658024,1.161477
3.160000,55.073409,1.204406
3.170000,55.489446,1.246759
3.180000,55.906133,1.288767
3.190000,56.323483,1.330578
3.200000,56.741519,0.981192
3.210000,57.160541,1.033569
3.220000,57.580693,1.083312
3.230000,58.001717,1.130922
3.240000,58.423426,1.176872
3.250000,58.845701,1.221586
3.260000,59.268470,1.265423
3.270000,59.691698,1.308673
3.280000,60.115376,1.351557
3.290000,60.539512,1.394229
3.300000,60.964122,1.036659
