tick,phase,alpha,kp_shape,er_x,er_y,er_z,er_norm,er_sum,er_par_norm,er_perp_norm,perp_frac,ev_x,ev_y,ev_z,ev_norm,aff_norm,fb_app_x,fb_app_y,fb_app_z,fb_app_norm,fb_diag_x,fb_diag_y,fb_diag_z,fb_diag_norm,fb_delta_norm,eta_fb,ades_norm,achieved_norm,resid_norm,delivered_frac
6448,DS,100.0,3x3,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.400589018e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,3.400589018e-02,1.639056796e-02,1.828048625e-02,0.471668
6449,DS,100.0,3x3,4.579341870e-05,2.591673932e-05,3.047289491e-05,6.080552522e-05,1.021830529e-04,5.899541311e-05,1.472593388e-05,0.242181,4.396883426e-03,1.949406484e-03,5.241108804e-03,7.113507643e-03,3.400589018e-02,3.506874530e-02,3.506874530e-02,3.506874530e-02,6.074084861e-02,1.332803053e-02,5.925969669e-03,1.581474510e-02,2.151417386e-02,4.114215081e-02,0.641086,7.662313498e-02,1.485000304e-02,6.748247888e-02,0.130959
6450,DS,100.0,3x3,1.177770840e-04,6.784787687e-05,9.142528996e-05,1.638089117e-04,2.770502508e-04,1.599550369e-04,3.532344443e-05,0.215638,6.234037408e-03,2.947090749e-03,6.589340391e-03,9.537713200e-03,3.400589018e-02,4.814255640e-02,4.814255640e-02,4.814255640e-02,8.338535369e-02,1.905544348e-02,9.044815879e-03,2.004229704e-02,2.909660274e-02,5.625227131e-02,0.710320,9.755506756e-02,1.368942935e-02,9.105818688e-02,0.074225
6451,DS,100.0,3x3,1.980148756e-04,1.182605216e-04,1.561183061e-04,2.785109826e-04,4.723937032e-04,2.727366317e-04,5.641894293e-05,0.202573,6.830066483e-03,3.379582123e-03,6.235651403e-03,9.846559395e-03,3.400589018e-02,5.075308114e-02,5.075308114e-02,5.075308114e-02,8.790691517e-02,2.108424407e-02,1.049352793e-02,1.917530913e-02,3.037024789e-02,5.914581305e-02,0.721064,1.018224917e-01,1.331418629e-02,9.733589887e-02,0.051641
6452,DS,100.0,3x3,2.778537206e-04,1.724260892e-04,2.135640381e-04,3.905675929e-04,6.638438479e-04,3.832704243e-04,7.514536928e-05,0.192400,6.837061683e-03,3.435642476e-03,5.250136158e-03,9.279708042e-03,3.400589018e-02,4.856005249e-02,4.856005249e-02,4.856005249e-02,8.410847814e-02,2.134474621e-02,1.082420570e-02,1.639110059e-02,2.900740937e-02,5.656419801e-02,0.712094,9.823602095e-02,1.297547104e-02,9.447096224e-02,0.046315
6453,DS,100.0,3x3,3.532000381e-04,2.270242923e-04,2.602480074e-04,4.939831187e-04,8.404723378e-04,4.852469305e-04,9.249182685e-05,0.187237,6.571146506e-03,3.212798059e-03,4.121389985e-03,8.395706830e-03,3.400589018e-02,4.423742066e-02,4.423742066e-02,4.423742066e-02,7.662146018e-02,2.077303963e-02,1.031946705e-02,1.314491398e-02,2.666082030e-02,5.165025388e-02,0.692609,9.121706760e-02,1.156664562e-02,8.724697485e-02,0.050616
6454,DS,100.0,3x3,4.221717818e-04,2.796825703e-04,2.960279911e-04,5.865866731e-04,9.978823433e-04,5.761276395e-04,1.102763258e-04,0.187997,6.182777561e-03,2.800226615e-03,3.070211379e-03,7.449443293e-03,3.400589018e-02,3.915329369e-02,3.915329369e-02,3.915329369e-02,6.781549396e-02,1.981484803e-02,9.239727555e-03,1.009871811e-02,2.408287514e-02,4.596700210e-02,0.666024,8.306629464e-02,1.052943351e-02,7.879908236e-02,0.058086
6455,DS,100.0,3x3,4.839466817e-04,3.289065333e-04,3.221855105e-04,6.679726054e-04,1.135038726e-03,6.553149137e-04,1.294208847e-04,0.193752,5.745484102e-03,2.282517074e-03,2.179490736e-03,6.555200351e-03,3.400589018e-02,3.402759192e-02,3.402759192e-02,3.402759192e-02,5.893751806e-02,1.868829235e-02,7.834270823e-03,7.505028741e-03,2.160910750e-02,4.030918677e-02,0.634123,7.499897654e-02,1.050151620e-02,7.027157420e-02,0.070849
6456,DS,100.0,3x3,5.383030731e-04,3.739922784e-04,3.404326654e-04,7.386032917e-04,1.252728017e-03,7.232628578e-04,1.497519985e-04,0.202750,5.326759210e-03,1.743399368e-03,1.465669933e-03,5.793271390e-03,3.400589018e-02,2.936566959e-02,2.936566959e-02,2.936566959e-02,5.086283172e-02,1.759518685e-02,6.352174940e-03,5.418307796e-03,1.947559463e-02,3.523693143e-02,0.599312,6.783766875e-02,1.079342627e-02,6.236612125e-02,0.090061
6457,DS,100.0,3x3,5.859533771e-04,4.152738844e-04,3.525620407e-04,8.000585927e-04,1.353789302e-03,7.816106180e-04,1.708174274e-04,0.213506,5.023536379e-03,1.278500712e-03,9.252817011e-04,5.265608041e-03,3.400589018e-02,2.574332428e-02,2.574332428e-02,2.574332428e-02,4.458874561e-02,1.682846927e-02,5.081323789e-03,3.833531225e-03,1.799203132e-02,3.140751401e-02,0.567326,6.242737124e-02,1.107294953e-02,5.621795212e-02,0.110250
6458,DS,100.0,3x3,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.065023315e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,4.065023315e-02,1.049027530e-02,3.171903686e-02,0.228870
6459,DS,100.0,3x3,2.335099869e-05,1.392340293e-05,-1.561601986e-06,2.723176252e-05,3.571279964e-05,2.061879449e-05,1.778859758e-05,0.653230,-2.082918942e-04,-4.244541630e-04,-3.194339748e-04,5.706004854e-04,4.065023315e-02,-2.749401697e-03,-2.749401697e-03,-2.749401697e-03,4.762103430e-03,-5.548226865e-04,-1.231592280e-03,-9.629867303e-04,1.658912656e-03,3.211105868e-03,0.104864,3.889109964e-02,1.118819367e-02,2.886194249e-02,0.266007
6460,DS,100.0,3x3,4.018800582e-05,2.416117852e-05,-6.059620143e-06,4.728168097e-05,5.828956419e-05,3.365349558e-05,3.321143765e-05,0.702417,-4.900325097e-04,-8.799168924e-04,-5.768460799e-04,1.160662310e-03,4.065023315e-02,-5.665517753e-03,-5.665517753e-03,-5.665517753e-03,9.812964600e-03,-1.349533512e-03,-2.567267142e-03,-1.748717100e-03,3.386755493e-03,6.600621500e-03,0.194458,3.759884605e-02,1.214195116e-02,2.644628162e-02,0.304771
6461,DS,100.0,3x3,5.016695958e-05,3.074816404e-05,-1.288597696e-05,6.023472277e-05,6.802914666e-05,3.927664614e-05,4.566800735e-05,0.758167,-7.533163693e-04,-1.292577269e-03,-7.743495069e-04,1.684594524e-03,4.065023315e-02,-8.256641997e-03,-8.256641997e-03,-8.256641997e-03,1.430092344e-02,-2.109448229e-03,-3.785487316e-03,-2.361706452e-03,4.935315939e-03,9.619224526e-03,0.260248,3.699533136e-02,1.310524712e-02,2.515543507e-02,0.331569
6462,DS,100.0,3x3,5.381119973e-05,3.438396887e-05,-2.145844123e-05,6.736740481e-05,6.673672737e-05,3.853046751e-05,5.526092928e-05,0.820292,-9.400008445e-04,-1.620582711e-03,-9.175554090e-04,2.086096316e-03,4.065023315e-02,-1.023420671e-02,-1.023420671e-02,-1.023420671e-02,1.772616600e-02,-2.658568934e-03,-4.758596227e-03,-2.817041551e-03,6.135792526e-03,1.193259976e-02,0.303653,3.689716241e-02,1.394334354e-02,2.480580869e-02,0.345412
6463,DS,100.0,3x3,5.191958155e-05,3.594859538e-05,-3.129114080e-05,7.047751380e-05,5.657703614e-05,3.266476705e-05,6.245072413e-05,0.886109,-1.044534347e-03,-1.863190142e-03,-1.017964521e-03,2.366174396e-03,4.065023315e-02,-1.160733592e-02,-1.160733592e-02,-1.160733592e-02,2.010449555e-02,-2.977844296e-03,-5.481724639e-03,-3.147766985e-03,6.987510190e-03,1.354826726e-02,0.330912,3.701576144e-02,1.464549183e-02,2.487079053e-02,0.352549
6464,DS,100.0,3x3,4.530370767e-05,3.628771395e-05,-4.200457965e-05,7.164920672e-05,3.958684197e-05,2.285547387e-05,6.790608322e-05,0.947758,-1.068301853e-03,-2.026442484e-03,-1.085074954e-03,2.534783156e-03,4.065023315e-02,-1.242069735e-02,-1.242069735e-02,-1.242069735e-02,2.151327887e-02,-3.068994435e-03,-5.970464311e-03,-3.381238600e-03,7.516511518e-03,1.451797741e-02,0.346076,3.715769481e-02,1.521578186e-02,2.496442066e-02,0.358150
