t_s,phase,step_index,swing_arm,d_grip_swing_mm,ori_err_deg,pos_ok,ori_ok,gate_eval,twist_norm_at_gateeval,docked_at_gateeval,Hdot_s_realized_cont_x_Nm,Hdot_s_realized_cont_y_Nm,Hdot_s_realized_cont_z_Nm,Hdot_s_realized_norm_Nm,Hdot_s_planned_ss_x_Nm,Hdot_s_planned_ss_y_Nm,Hdot_s_planned_ss_z_Nm,Hdot_s_planned_norm_Nm,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,r_com_x_m,r_com_y_m,r_com_z_m,r_com_ref_x_m,r_com_ref_y_m,r_com_ref_z_m,e_com_m,v_com_x_mps,v_com_y_mps,v_com_z_mps,v_com_ref_x_mps,v_com_ref_y_mps,v_com_ref_z_mps,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,e_torso_pos_m,e_torso_ori_deg,p_torso_x_m,p_torso_y_m,p_torso_z_m,p_torso_ref_x_m,p_torso_ref_y_m,p_torso_ref_z_m,e_ee_pos_mm,e_ee_ori_deg,qp_ok,nmpc_ok,qp_time_ms,nmpc_time_ms,nmpc_iterations,lambda_qp_norm,lambda_ref_norm,tau_max_joint_Nm
1.1100,SS,0,b,563.3987,0.4116,0,1,0,,,7.986507e-01,-5.821990e-01,7.622412e-01,1.248123e+00,1.029596e+00,3.420056e-01,5.000000e+00,5.116349e+00,-8.996152e-01,6.883726e-01,-9.183190e-01,-2.462469e-01,5.952184e-01,-3.743181e-01,-1.186041e-02,-6.108049e-01,-3.527753e-01,9.592718e-02,-5.769305e-01,-3.507421e-01,1.130034e-01,4.712568e-02,1.544909e-02,-2.986969e-03,4.467698e-02,1.632688e-02,-2.687591e-03,-7.300041e-03,1.415347e-02,-6.359668e-03,4.096059e-02,3.932101e-01,1.732314e-01,-8.141193e-01,-3.368337e-01,2.110657e-01,-7.990785e-01,-3.413179e-01,3.646170e+01,4.116094e-01,1,1,5.004266e+01,1.871648e+01,15,4.133281e+00,7.148573e+00,2.651290e+00
1.2100,SS,0,b,513.7690,0.4556,0,1,0,,,7.548783e-01,-4.817467e-01,8.789261e-01,1.254764e+00,6.788618e-01,2.340062e-01,5.000000e+00,5.051298e+00,-8.349621e-01,5.955494e-01,-1.042763e+00,-2.892537e-01,6.280590e-01,-4.197845e-01,-7.067143e-03,-6.092462e-01,-3.530360e-01,1.051487e-01,-5.745826e-01,-3.508389e-01,1.174682e-01,5.085465e-02,1.820319e-02,-2.392448e-03,4.796774e-02,1.895819e-02,-2.305808e-03,-9.446150e-03,1.650263e-02,-7.539433e-03,4.971658e-02,4.419761e-01,1.718758e-01,-8.130249e-01,-3.361151e-01,2.182171e-01,-7.956520e-01,-3.408486e-01,3.847421e+01,4.555583e-01,1,1,5.263747e+01,1.893580e+01,15,3.868137e+00,6.731940e+00,2.297485e+00
1.3100,SS,0,b,461.8901,0.4941,0,1,0,,,6.629323e-01,-4.087745e-01,1.032340e+00,1.293175e+00,2.770392e-01,6.874052e-02,5.000000e+00,5.008141e+00,-7.128788e-01,5.277795e-01,-1.199333e+00,-3.283412e-01,6.574989e-01,-4.722234e-01,-1.951452e-03,-6.074357e-01,-3.532297e-01,1.139456e-01,-5.723778e-01,-3.509224e-01,1.211053e-01,5.415401e-02,2.062669e-02,-1.687771e-03,5.108551e-02,2.138663e-02,-1.802063e-03,-1.188538e-02,1.891230e-02,-8.845224e-03,5.880961e-02,4.909891e-01,1.704247e-01,-8.116507e-01,-3.355690e-01,2.256747e-01,-7.920788e-01,-3.403592e-01,3.969145e+01,4.940850e-01,1,1,5.149415e+01,1.886486e+01,15,3.545788e+00,6.389350e+00,2.264494e+00
1.4100,SS,0,b,408.8290,0.5283,0,1,0,,,5.299122e-01,-3.623803e-01,1.212008e+00,1.371528e+00,-1.507850e-01,-1.386988e-01,5.000000e+00,5.004195e+00,-5.402233e-01,4.837814e-01,-1.377159e+00,-3.609995e-01,6.846298e-01,-5.329463e-01,3.443492e-03,-6.054063e-01,-3.533482e-01,1.219388e-01,-5.703992e-01,-3.509716e-01,1.235810e-01,5.701561e-02,2.254384e-02,-9.180307e-04,5.405988e-02,2.343506e-02,-1.208158e-03,-1.456963e-02,2.136927e-02,-1.030549e-02,6.799128e-02,5.398007e-01,1.689740e-01,-8.100036e-01,-3.352272e-01,2.332859e-01,-7.884320e-01,-3.398597e-01,4.006986e+01,5.282502e-01,1,1,5.241701e+01,1.839715e+01,14,3.193206e+00,6.132339e+00,2.228398e+00
1.5100,SS,0,b,355.6882,0.5591,0,1,0,,,3.715634e-01,-3.403836e-01,1.404184e+00,1.491862e+00,-5.690393e-01,-3.765829e-01,5.000000e+00,5.046347e+00,-3.363960e-01,4.604536e-01,-1.560695e+00,-3.853601e-01,7.104711e-01,-6.026834e-01,9.076063e-03,-6.032039e-01,-3.533881e-01,1.294983e-01,-5.685428e-01,-3.510023e-01,1.253340e-01,5.944951e-02,2.382654e-02,-1.299697e-04,5.693418e-02,2.497756e-02,-5.638053e-04,-1.743662e-02,2.386653e-02,-1.195382e-02,7.698950e-02,5.876085e-01,1.676420e-01,-8.081015e-01,-3.351089e-01,2.408932e-01,-7.847871e-01,-3.393604e-01,3.959675e+01,5.591191e-01,1,1,5.327738e+01,2.027349e+01,16,2.854393e+00,5.986949e+00,2.186916e+00
1.6100,SS,0,b,303.5703,0.5873,0,1,0,,,2.012284e-01,-3.345499e-01,1.588540e+00,1.635810e+00,-9.602420e-01,-6.078817e-01,5.000000e+00,5.127532e+00,-1.169977e-01,4.479383e-01,-1.729806e+00,-4.003158e-01,7.356848e-01,-6.811054e-01,1.490720e-02,-6.008823e-01,-3.533506e-01,1.357574e-01,-5.670045e-01,-3.509661e-01,1.255316e-01,6.146516e-02,2.440301e-02,6.357379e-04,5.964615e-02,2.589134e-02,1.003367e-04,-2.041729e-02,2.640221e-02,-1.382562e-02,8.551777e-02,6.332470e-01,1.665643e-01,-8.059741e-01,-3.352183e-01,2.483392e-01,-7.812194e-01,-3.388718e-01,3.829136e+01,5.873255e-01,1,1,5.196926e+01,1.751233e+01,13,2.557229e+00,5.940221e+00,2.132245e+00
1.7100,SS,0,b,253.5412,0.6127,0,1,0,,,3.527886e-02,-3.420215e-01,1.755819e+00,1.789168e+00,-1.291495e+00,-8.368825e-01,5.000000e+00,5.231475e+00,9.677175e-02,4.455069e-01,-1.873105e+00,-4.056220e-01,7.607967e-01,-7.674702e-01,2.090091e-02,-5.984986e-01,-3.532409e-01,1.416905e-01,-5.655460e-01,-3.509132e-01,1.252254e-01,6.308846e-02,2.425986e-02,1.341732e-03,6.226671e-02,2.616534e-02,7.433030e-04,-2.344215e-02,2.897822e-02,-1.595573e-02,9.328675e-02,6.752037e-01,1.658866e-01,-8.036622e-01,-3.355439e-01,2.554717e-01,-7.778020e-01,-3.384037e-01,3.620748e+01,6.126859e-01,1,1,5.313485e+01,1.693635e+01,13,2.342244e+00,6.040779e+00,2.073241e+00
1.8100,SS,0,b,206.5922,0.6339,0,1,0,,,-1.204967e-01,-3.512804e-01,1.890890e+00,1.927014e+00,-1.562859e+00,-1.032165e+00,4.999999e+00,5.339278e+00,2.973458e-01,4.403314e-01,-1.977829e+00,-4.016260e-01,7.859076e-01,-8.601289e-01,2.702526e-02,-5.961079e-01,-3.530669e-01,1.457479e-01,-5.644778e-01,-3.507488e-01,1.228858e-01,6.434113e-02,2.343122e-02,1.960579e-03,6.471362e-02,2.577249e-02,1.349197e-03,-2.644693e-02,3.159913e-02,-1.837553e-02,1.000173e-01,7.119027e-01,1.657561e-01,-8.012177e-01,-3.360587e-01,2.621484e-01,-7.746029e-01,-3.379655e-01,3.343585e+01,6.339248e-01,1,1,5.164027e+01,1.627293e+01,12,2.204629e+00,6.272918e+00,2.000142e+00
1.9100,SS,0,b,163.6016,0.6486,0,1,0,,,-2.563297e-01,-3.570660e-01,1.990961e+00,2.038903e+00,-1.749582e+00,-1.207744e+00,4.999999e+00,5.433201e+00,4.694567e-01,4.291581e-01,-2.040856e+00,-3.892437e-01,8.108566e-01,-9.574414e-01,3.325212e-02,-5.937612e-01,-3.528392e-01,1.494808e-01,-5.634676e-01,-3.505635e-01,1.201332e-01,6.525563e-02,2.199220e-02,2.467206e-03,6.705235e-02,2.480105e-02,1.882167e-03,-2.937446e-02,3.427017e-02,-2.111161e-02,1.054546e-01,7.417935e-01,1.663110e-01,-7.987023e-01,-3.367223e-01,2.682420e-01,-7.716833e-01,-3.375656e-01,3.010632e+01,6.485926e-01,1,1,5.737459e+01,1.888619e+01,15,2.139686e+00,6.686647e+00,1.921864e+00
2.0100,SS,0,b,125.2988,0.6532,0,1,0,,,-3.644928e-01,-3.322488e-01,2.024243e+00,2.083460e+00,-1.864990e+00,-1.265207e+00,4.999999e+00,5.484426e+00,5.991354e-01,3.781430e-01,-2.036769e+00,-3.701083e-01,8.344081e-01,-1.056244e+00,3.955519e-02,-5.915005e-01,-3.525708e-01,1.511769e-01,-5.627946e-01,-3.502416e-01,1.152773e-01,6.580882e-02,2.008126e-02,2.838952e-03,6.888776e-02,2.329461e-02,2.341779e-03,-3.217834e-02,3.699409e-02,-2.418155e-02,1.093835e-01,7.636261e-01,1.676692e-01,-7.961833e-01,-3.374841e-01,2.736451e-01,-7.690945e-01,-3.372110e-01,2.638366e+01,6.532025e-01,1,1,5.479231e+01,1.634192e+01,12,2.067878e+00,7.088615e+00,1.802232e+00
