t_s,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,Ltot_norm_Nms
74.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
74.510,1.247184e-03,5.567343e-04,-5.518561e-04,1.473080e-03
75.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
75.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
76.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
76.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
77.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
77.510,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
78.010,1.247184e-03,5.567343e-04,-5.518562e-04,1.473080e-03
78.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
79.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
79.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
80.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
80.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
81.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
81.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
82.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
82.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
83.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
83.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
84.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
84.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
85.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
85.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
86.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
86.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
87.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
87.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
88.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
88.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
89.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
89.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
90.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
90.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
91.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
91.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
92.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
92.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
93.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
93.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
94.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
94.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
95.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
95.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
96.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
96.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
97.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
97.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
98.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
