t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
2.270000,2.041724,1.749744,0.521381,0.023380
2.280000,2.060216,1.761686,0.518747,0.023259
2.290000,2.078623,1.773666,0.516078,0.023137
2.300000,2.096943,1.785687,0.513372,0.023015
2.310000,2.115173,1.797751,0.510630,0.022892
2.320000,2.133309,1.809859,0.507852,0.022768
2.330000,2.151348,1.822014,0.505040,0.022644
2.340000,2.169287,1.834217,0.502193,0.022520
2.350000,2.187125,1.846472,0.499312,0.022394
2.360000,2.204856,1.858779,0.496397,0.022269
2.370000,2.222480,1.871142,0.493448,0.022142
2.380000,2.239993,1.883562,0.490467,0.022015
2.390000,2.257391,1.896043,0.487452,0.021888
2.400000,2.274673,1.908586,0.484405,0.021760
2.410000,2.291835,1.921194,0.481327,0.021631
2.420000,2.308874,1.933870,0.478217,0.021502
2.430000,2.325789,1.946615,0.475075,0.021372
2.440000,2.342576,1.959434,0.471903,0.021242
2.450000,2.359232,1.972327,0.468701,0.021111
2.460000,2.375755,1.985299,0.465469,0.020979
2.470000,2.392142,1.998351,0.462208,0.020847
2.480000,2.408390,2.011486,0.458918,0.020715
2.490000,2.424497,2.024708,0.455599,0.020582
2.500000,2.440460,2.038020,0.452252,0.020448
2.510000,2.456277,2.051423,0.448877,0.020314
2.520000,2.471945,2.064921,0.445476,0.020179
2.530000,2.487461,2.078517,0.442047,0.020043
2.540000,2.502824,2.092214,0.439877,0.019907
2.550000,2.518030,2.106016,0.439747,0.019771
2.560000,2.533077,2.119924,0.439587,0.019634
2.570000,2.547962,2.133942,0.439399,0.019496
2.580000,2.562684,2.148074,0.439182,0.019357
2.590000,2.577240,2.162322,0.438936,0.019218
2.600000,2.591627,2.176690,0.438660,0.019079
2.610000,2.605843,2.191181,0.438355,0.018938
2.620000,2.619887,2.205798,0.438021,0.018797
2.630000,2.633754,2.220545,0.437658,0.018656
2.640000,2.647444,2.235424,0.437265,0.018514
2.650000,2.660954,2.250439,0.436842,0.018371
2.660000,2.674281,2.265593,0.436391,0.018227
2.670000,2.687425,2.280890,0.435910,0.018083
2.680000,2.700381,2.296333,0.435399,0.017938
2.690000,2.713149,2.311925,0.434859,0.017793
2.700000,2.725726,2.327670,0.434289,0.017647
2.710000,2.738110,2.343571,0.433690,0.017500
2.720000,2.750299,2.359631,0.433061,0.017352
2.730000,2.762291,2.375853,0.432403,0.017204
2.740000,2.774084,2.392242,0.431715,0.017055
2.750000,2.785675,2.408800,0.430998,0.016905
2.760000,2.797064,2.425530,0.430251,0.016755
2.770000,2.808247,2.442437,0.429474,0.016604
2.780000,2.819224,2.459523,0.428668,0.016452
2.790000,2.829992,2.476791,0.427833,0.016299
2.800000,2.840549,2.494245,0.426968,0.016146
2.810000,2.850893,2.511889,0.426073,0.015992
2.820000,2.861023,2.529725,0.425149,0.015837
2.830000,2.870937,2.547756,0.424196,0.015681
2.840000,2.880633,2.565986,0.423213,0.015524
2.850000,2.890109,2.584418,0.422201,0.015367
2.860000,2.899364,2.603056,0.421159,0.015208
2.870000,2.908396,2.621901,0.420088,0.015049
2.880000,2.917203,2.640958,0.418988,0.014890
2.890000,2.925784,2.660229,0.417859,0.014729
2.900000,2.934136,2.679717,0.416700,0.014567
2.910000,2.942260,2.699425,0.415513,0.014405
2.920000,2.950152,2.719356,0.414296,0.014241
2.930000,2.957811,2.739513,0.413050,0.014077
2.940000,2.965237,2.759899,0.411776,0.013912
2.950000,2.972427,2.780517,0.410472,0.013746
2.960000,2.979380,2.801368,0.409140,0.013579
2.970000,2.986095,2.822456,0.407779,0.013411
2.980000,2.992570,2.843783,0.406389,0.013243
2.990000,2.998804,2.865353,0.404971,0.013073
3.000000,3.004796,2.887166,0.403524,0.012902
3.010000,3.010544,2.909226,0.402048,0.012731
3.020000,3.016047,2.931535,0.400544,0.012558
3.030000,3.021305,2.954095,0.399012,0.012385
3.040000,3.026315,2.976909,0.397452,0.012211
3.050000,3.031077,2.999978,0.395863,0.012035
3.060000,3.035589,3.023304,0.394246,0.011859
3.070000,3.039852,3.046891,0.392602,0.011682
3.080000,3.043862,3.070738,0.390929,0.011503
3.090000,3.047621,3.094849,0.389229,0.011324
3.100000,3.051126,3.119224,0.387500,0.011144
3.110000,3.054376,3.143867,0.385745,0.010962
3.120000,3.057372,3.168777,0.383961,0.010780
3.130000,3.060111,3.193958,0.382150,0.010597
3.140000,3.062594,3.219409,0.380312,0.010412
3.150000,3.064819,3.245133,0.378447,0.010227
3.160000,3.066786,3.271131,0.376554,0.010041
3.170000,3.068495,3.297403,0.374635,0.009853
3.180000,3.069943,3.323952,0.372688,0.009665
3.190000,3.071132,3.350777,0.370715,0.009475
3.200000,3.072060,3.377881,0.368714,0.009284
3.210000,3.072727,3.405263,0.366688,0.009093
3.220000,3.073133,3.432925,0.364634,0.008900
3.230000,3.073276,3.460868,0.362555,0.008706
3.240000,3.073158,3.489091,0.360448,0.008512
3.250000,3.072777,3.517596,0.358316,0.008316
