t,phase,step_idx,mask_ss,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
8.040000,SS,1,1,1.465764360,-0.619281396,3.261947357,0.238946081,0.525237227,-0.701408810,0.283090386,-0.003282297,0.001806175,-0.000079036,0.529025194,0.006501366,a,2,3,3,3
8.140000,SS,1,1,1.428378075,-0.592930830,3.316160972,0.209526882,0.480863503,-0.644534468,0.297676568,-0.003269925,0.001798599,-0.000111422,0.509523607,0.011064787,a,2,3,3,3
8.240000,SS,1,1,1.381958080,-0.563173348,3.354741754,0.180833331,0.436303834,-0.588548561,0.310003152,-0.003257702,0.001789862,-0.000144277,0.489697251,0.015499479,a,2,3,3,3
8.340000,SS,1,1,1.330609460,-0.521713466,3.364478170,0.150731913,0.386612798,-0.525317553,0.319837222,-0.003244238,0.001780460,-0.000176923,0.469604039,0.019762018,a,2,3,3,3
8.440000,SS,1,1,1.270882159,-0.478461727,3.360297995,0.121971043,0.338386516,-0.465498632,0.326981716,-0.003231144,0.001770311,-0.000209906,0.449302996,0.023827869,a,2,3,3,3
8.540000,SS,1,1,1.203963299,-0.433533855,3.340800776,0.094287351,0.291616158,-0.409723250,0.331281685,-0.003218289,0.001759968,-0.000243010,0.428854023,0.027676363,a,2,3,3,3
8.640000,SS,1,1,1.131043095,-0.386868021,3.305165307,0.067879881,0.245940034,-0.357614412,0.332607940,-0.003205689,0.001749729,-0.000276049,0.408317739,0.031281752,a,2,3,3,3
8.740000,SS,1,1,1.054484868,-0.333778802,3.244817828,0.042032024,0.198740274,-0.304443491,0.330866516,-0.003192376,0.001739815,-0.000308704,0.387755188,0.034618937,a,2,3,3,3
8.840000,SS,1,1,0.978353969,-0.262201216,3.140296943,0.014422715,0.143169467,-0.238086673,0.325990811,-0.003175945,0.001730202,-0.000340425,0.367227585,0.037668373,a,2,3,3,3
8.940000,SS,1,1,0.898741672,-0.190619967,3.022432475,-0.011221012,0.089767651,-0.176886118,0.317935056,-0.003160320,0.001721154,-0.000371637,0.346795932,0.040420409,a,2,3,3,3
9.040000,SS,1,1,0.817024379,-0.119453730,2.888699663,-0.035507490,0.040285903,-0.123401050,0.306730992,-0.003145188,0.001713481,-0.000402139,0.326520647,0.042878334,a,2,3,3,3
9.140000,SS,1,1,0.734588583,-0.048648423,2.739189533,-0.058666655,-0.006667580,-0.076536315,0.292433593,-0.003130612,0.001707530,-0.000431609,0.306461697,0.045032162,a,2,3,3,3
